"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'College')","('Unnamed: 3_level_0', 'G')","('Unnamed: 4_level_0', 'MP')","('Totals', 'FG')","('Totals', 'FGA')","('Totals', '3P')","('Totals', '3PA')","('Totals', 'FT')","('Totals', 'FTA')","('Totals', 'ORB')","('Totals', 'TRB')","('Totals', 'AST')","('Totals', 'STL')","('Totals', 'BLK')","('Totals', 'TOV')","('Totals', 'PF')","('Totals', 'PTS')","('Shooting', 'FG%')","('Shooting', '3P%')","('Shooting', 'FT%')","('Per Game', 'MP')","('Per Game', 'PTS')","('Per Game', 'TRB')","('Per Game', 'AST')"
2005-06,20.0,KANSAS,33,1047,170,359,50,106,54,71,48,195,65,29,23,83,39,444,0.474,0.472,0.761,31.7,13.5,5.9,2.0
2006-07,21.0,KANSAS,38,1234,186,420,75,174,79,116,58,212,76,15,34,78,60,526,0.443,0.431,0.681,32.5,13.8,5.6,2.0
2007-08,22.0,KANSAS,38,1127,180,414,80,191,67,86,57,195,81,32,32,69,60,507,0.435,0.419,0.779,29.7,13.3,5.1,2.1
Career,,,109,3408,536,1193,205,471,200,273,163,602,222,76,89,230,159,1477,0.449,0.435,0.733,31.3,13.6,5.5,2.0
