Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2011-12,27.0,MEM,NBA,C,1,0,13:32,2,5,0.4,0,0,,0,0,,1,3,0,0,0,1,2,4
2014-15,30.0,MEM,NBA,C,1,1,24:55,3,6,0.5,0,1,0.0,0,0,,2,10,2,2,0,1,1,6
2016-17,32.0,MEM,NBA,C,1,0,21:29,5,7,0.714,0,2,0.0,0,0,,3,10,8,1,1,2,0,10
Career,,,NBA,,3,1,60,10,18,0.556,0,3,0.0,0,0,,6,23,10,3,1,4,3,20
