Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2005-06,25,MIL,NBA,SF,5.0,5.0,159.0,4.8,14.3,0.333,1.7,4.1,0.417,3.1,10.2,0.3,0.393,0.0,0.0,1.4,4.8,6.1,3.4,3.1,0.3,2.0,3.8,11.3,85.0,119.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12,31,LAC,NBA,SF,4.0,1.0,32.0,8.4,15.2,0.556,1.7,6.7,0.25,6.7,8.4,0.8,0.611,0.0,0.0,0.0,1.7,1.7,0.0,0.0,0.0,1.7,11.8,18.6,106.0,115.0,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,9.0,6.0,191.0,5.4,14.5,0.373,1.7,4.5,0.375,3.7,9.9,0.371,0.431,0.0,0.0,1.1,4.3,5.4,2.8,2.6,0.3,2.0,5.1,12.5,88.0,118.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),,5.0,5.0,159.0,4.8,14.3,0.333,1.7,4.1,0.417,3.1,10.2,0.3,0.393,0.0,0.0,1.4,4.8,6.1,3.4,3.1,0.3,2.0,3.8,11.3,85.0,119.0,
LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,4.0,1.0,32.0,8.4,15.2,0.556,1.7,6.7,0.25,6.7,8.4,0.8,0.611,0.0,0.0,0.0,1.7,1.7,0.0,0.0,0.0,1.7,11.8,18.6,106.0,115.0,
