"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Devin Vassell,,3.6,3.3,2.2,1.5,1.2,,,
Bryn Forbes,90.0,3.8,2.7,2.1,1.5,1.4,0.1,0.0,
Charlie Bell,89.8,4.0,3.3,2.2,2.0,1.3,-0.1,-0.2,
Devin Brown,89.0,3.7,3.5,2.4,1.7,1.4,0.4,0.1,-0.1
Larry Wright,88.6,3.5,2.7,1.8,1.4,1.2,0.0,,
George Dempsey,87.2,3.5,2.2,2.1,1.5,1.4,,,
Pablo Prigioni,86.9,3.4,3.2,2.3,1.5,,,,
John Konchar,86.1,4.2,3.5,2.2,1.7,1.5,0.7,,
Bill Gabor,85.2,3.5,2.9,2.8,1.5,0.5,0.0,,
Andre Roberson,85.2,4.2,3.4,2.2,2.1,0.8,0.0,-0.1,
Al Skinner,84.7,4.9,3.3,2.1,1.8,1.2,0.0,,
