"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
JiÅÃ­ Welsch,,3.6,1.7,0.8,-0.4,,,
Stan Stutz,84.1,3.9,1.7,1.1,,,,
Ronnie Lester,80.8,3.9,1.7,0.7,0.2,0.0,-0.2,
Billy Ray Bates,80.6,3.6,2.4,0.9,0.0,,,
Angelo Musi,80.2,3.5,1.3,1.1,,,,
Al Butler,79.0,4.1,2.1,1.1,-0.3,,,
Ryan Arcidiacono,78.0,3.7,1.4,0.9,0.3,0.1,-0.1,-0.2
Ralph Johnson,78.0,2.9,1.6,0.8,0.0,,,
Ron Sobie,77.5,3.6,2.6,0.9,0.1,,,
Jim Thomas,77.2,3.5,1.6,0.0,-0.1,,,
Brad Wanamaker,76.8,3.5,1.0,0.9,0.0,,,
