Season,Team,Lg,Salary
2004-05,Indiana Pacers,NBA,"$835,560"
2005-06,Indiana Pacers,NBA,"$898,200"
2006-07,Indiana Pacers,NBA,"$960,840"
2007-08,Indiana Pacers,NBA,"$1,734,316"
Career,(may be incomplete),,"$4,428,916"
