"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('Unnamed: 20_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 25_level_0', 'Awards')"
2010-11,22,MIA,NBA,C,2.0,0.0,11.0,0.333,4.7,1.0,0.667,0.333,0.0,0.0,0.0,0.333,0.5,0.0,,1.0,0.0,0.0,0.0,0.0,
2011-12,23,MIA,NBA,C,35.0,6.0,301.0,0.468,4.3,1.0,0.479,0.468,0.053,0.0,0.0,0.468,0.644,0.295,0.4,0.659,0.17,15.0,0.0,0.0,
2012-13,24,2TM,NBA,C,11.0,0.0,32.0,0.364,4.3,1.0,0.455,0.545,0.0,0.0,0.0,0.364,0.4,0.333,,0.0,0.0,0.0,0.0,0.0,
2012-13,24,MIA,NBA,C,4.0,0.0,12.0,0.6,6.5,1.0,0.2,0.8,0.0,0.0,0.0,0.6,1.0,0.5,,0.0,0.0,0.0,0.0,0.0,
2012-13,24,MEM,NBA,C,7.0,0.0,20.0,0.167,2.0,1.0,0.667,0.333,0.0,0.0,0.0,0.167,0.25,0.0,,0.0,0.0,0.0,0.0,0.0,
2013-14,25,ATL,NBA,C,2.0,0.0,3.0,0.0,1.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,50.0,6.0,347.0,0.45,3.8,1.0,0.486,0.468,0.046,0.0,0.0,0.45,0.604,0.294,0.4,0.612,0.147,15.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,10.0,569.0,0.45,3.8,1.0,0.486,0.468,0.046,0.0,0.0,0.45,0.604,0.294,0.4,0.612,0.147,25.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,
MIA (3 Yrs),MIA (3 Yrs),MIA (3 Yrs),MIA (3 Yrs),,41.0,6.0,324.0,0.471,5.2,1.0,0.471,0.48,0.049,0.0,0.0,0.471,0.646,0.306,0.4,0.625,0.157,15.0,0.0,0.0,
MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),,7.0,0.0,20.0,0.167,2.0,1.0,0.667,0.333,0.0,0.0,0.0,0.167,0.25,0.0,,0.0,0.0,0.0,0.0,0.0,
ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),,2.0,0.0,3.0,0.0,1.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,
