"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Added', 'FG Add')","('Added', 'TS Add')","('Unnamed: 24_level_0', 'Awards')"
2010-11,22,MIA,NBA,C,2.0,0.0,11.0,0.333,0.333,0.333,,0.333,0.0,0.0,73.0,68.0,67.0,,62.0,0.0,0.0,-1.0,-1.2,
2011-12,23,MIA,NBA,C,35.0,6.0,301.0,0.468,0.468,0.468,0.643,0.498,0.298,0.0,104.0,98.0,96.0,85.0,95.0,108.0,0.0,-3.6,-6.1,
2012-13,24,2TM,NBA,C,11.0,0.0,32.0,0.364,0.364,0.364,0.0,0.325,0.273,0.0,80.0,75.0,73.0,0.0,61.0,101.0,0.0,-3.0,-5.1,
2012-13,24,MIA,NBA,C,4.0,0.0,12.0,0.6,0.6,0.6,,0.6,0.0,0.0,133.0,124.0,121.0,,112.0,0.0,0.0,1.0,0.7,
2012-13,24,MEM,NBA,C,7.0,0.0,20.0,0.167,0.167,0.167,0.0,0.137,0.5,0.0,37.0,35.0,34.0,0.0,26.0,185.0,0.0,-4.0,-5.8,
2013-14,25,ATL,NBA,C,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,704.0,0.0,-1.0,-2.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,50.0,6.0,347.0,0.45,0.45,0.45,0.545,0.47,0.303,0.0,99.0,94.0,92.0,72.0,89.0,110.0,0.0,-8.6,-14.4,
,,,,,,,,,,,,,,,,,,,,,,,,
MIA (3 Yrs),MIA (3 Yrs),MIA (3 Yrs),MIA (3 Yrs),,41.0,6.0,324.0,0.471,0.471,0.471,0.643,0.499,0.275,0.0,104.0,99.0,96.0,85.0,94.0,100.0,0.0,-3.6,-6.6,
MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),,7.0,0.0,20.0,0.167,0.167,0.167,0.0,0.137,0.5,0.0,37.0,35.0,34.0,0.0,26.0,185.0,0.0,-4.0,-5.8,
ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,704.0,0.0,-1.0,-2.0,
