Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2010-11,22,MIA,NBA,C,2.0,0.0,11.0,3.3,9.8,0.333,0.0,0.0,3.3,9.8,0.333,0.333,0.0,0.0,,3.3,6.5,9.8,0.0,0.0,0.0,6.5,6.5,6.5,
2011-12,23,MIA,NBA,C,35.0,6.0,301.0,5.3,11.2,0.468,0.0,0.0,5.3,11.2,0.468,0.468,2.2,3.3,0.643,3.2,5.3,8.5,1.1,1.0,1.0,2.0,8.7,12.7,
2012-13,24,2TM,NBA,C,11.0,0.0,32.0,4.5,12.4,0.364,0.0,0.0,4.5,12.4,0.364,0.364,0.0,3.4,0.0,7.9,5.6,13.5,0.0,0.0,0.0,3.4,9.0,9.0,
2012-13,24,MIA,NBA,C,4.0,0.0,12.0,9.0,15.0,0.6,0.0,0.0,9.0,15.0,0.6,0.6,0.0,0.0,,12.0,9.0,21.0,0.0,0.0,0.0,6.0,12.0,18.0,
2012-13,24,MEM,NBA,C,7.0,0.0,20.0,1.8,10.8,0.167,0.0,0.0,1.8,10.8,0.167,0.167,0.0,5.4,0.0,5.4,3.6,9.0,0.0,0.0,0.0,1.8,7.2,3.6,
2013-14,25,ATL,NBA,C,2.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,24.0,0.0,36.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,50.0,6.0,347.0,5.1,11.3,0.45,0.0,0.0,5.1,11.3,0.45,0.45,1.9,3.4,0.545,3.9,5.3,9.2,0.9,0.8,0.8,2.3,8.6,12.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIA (3 Yrs),MIA (3 Yrs),MIA (3 Yrs),MIA (3 Yrs),,41.0,6.0,324.0,5.3,11.3,0.471,0.0,0.0,5.3,11.3,0.471,0.471,2.0,3.1,0.643,3.6,5.4,9.0,1.0,0.9,0.9,2.3,8.8,12.7,
MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),,7.0,0.0,20.0,1.8,10.8,0.167,0.0,0.0,1.8,10.8,0.167,0.167,0.0,5.4,0.0,5.4,3.6,9.0,0.0,0.0,0.0,1.8,7.2,3.6,
ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),,2.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,24.0,0.0,36.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,
