"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Kai Jones,,2.1,0.7,0.0,,
Ryan Kelly,92.9,2.2,0.7,0.1,0.1,
Bill Bunting,92.8,2.0,0.7,0.0,,
Joey Dorsey,86.0,1.9,0.8,0.1,0.0,
Alfonzo McKinnie,85.9,2.1,0.8,0.2,0.1,-0.1
Chris Copeland,83.2,2.1,1.0,-0.1,-0.1,
Bernard Thompson,83.1,2.1,0.9,0.2,0.1,0.0
Gerard King,81.6,2.3,0.5,0.2,,
Ron Bonham,81.5,1.8,0.7,0.2,,
Usman Garuba,80.1,1.8,0.5,0.0,,
Ish Wainright,78.6,1.7,0.6,0.0,,
