"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Kai Jones,,2.1,0.7,0.0
Ryan Kelly,94.8,2.2,0.7,0.1
Jim Loscutoff,93.0,2.1,0.9,0.0
Bill Bunting,92.8,2.0,0.7,0.0
Tellis Frank,88.4,2.0,0.6,0.1
Marty Byrnes,87.3,2.3,0.9,0.0
Dave Lattin,85.5,2.0,0.6,0.2
Chris Copeland,84.8,2.1,1.0,-0.1
Drew Eubanks,84.5,2.3,0.8,0.3
Tony Massenburg,84.2,2.2,0.4,-0.1
Stan McKenzie,83.3,2.4,0.6,0.1
