"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 22_level_0', 'Awards')"
2000-01,21,MIL,NBA,C,1.0,0.0,2.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
2002-03,23,MIL,NBA,C,4.0,3.0,33.0,1.0,1.0,1.0,,1.0,0.0,0.0,226.0,216.0,211.0,,193.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
2008-09,29,POR,NBA,C,6.0,6.0,162.0,0.556,0.556,0.556,0.5,0.557,0.333,0.0,121.0,114.0,111.0,65.0,102.0,109.0,0.0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,11.0,9.0,197.0,0.579,0.579,0.579,0.5,0.578,0.316,0.0,129.0,120.0,116.0,65.0,107.0,103.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
MIL (2 Yrs),MIL (2 Yrs),MIL (2 Yrs),MIL (2 Yrs),,5.0,3.0,35.0,1.0,1.0,1.0,,1.0,0.0,0.0,226.0,216.0,211.0,,193.0,0.0,0.0,
POR (1 Yr),POR (1 Yr),POR (1 Yr),POR (1 Yr),,6.0,6.0,162.0,0.556,0.556,0.556,0.5,0.557,0.333,0.0,121.0,114.0,111.0,65.0,102.0,109.0,0.0,
