"('Thru 13 Years', 'Player')","('Thru 13 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Joel Przybilla,,6.6,4.7,4.3,2.3,1.9,1.4,0.6,0.5,0.3,0.3,0.1,0.1,0.0
Scot Pollard,85.9,6.8,5.4,5.1,2.1,1.9,1.4,1.1,1.0,0.9,0.6,0.2,,
Dale Schlueter,82.2,6.3,4.4,3.0,2.0,1.6,1.2,1.1,1.1,0.1,0.0,,,
Kevin Kunnert,82.1,5.1,4.8,4.1,2.6,2.3,1.9,1.0,0.2,0.0,,,,
Tim McCormick,81.6,6.0,4.6,3.9,3.8,2.0,1.1,0.2,-0.1,,,,,
Jack Nichols,81.3,6.7,4.4,4.3,4.1,2.5,1.6,1.0,0.3,-1.0,,,,
Daniel Theis,80.6,6.5,4.3,3.5,3.5,2.5,1.9,1.0,0.1,,,,,
Mikki Moore,79.8,5.7,4.6,2.8,2.6,2.2,2.1,1.0,0.6,0.6,0.1,0.1,0.1,0.1
Randy Breuer,79.6,5.1,4.5,3.0,2.4,2.0,1.7,1.0,0.9,0.3,0.1,0.0,,
Thomas Bryant,79.4,5.6,4.1,3.9,3.1,1.6,1.1,1.0,0.1,,,,,
Jason Collins,79.4,4.9,4.7,3.9,3.0,2.0,0.6,0.6,0.4,0.2,0.1,0.1,-0.1,-0.2
