"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","('Unnamed: 22_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('Unnamed: 25_level_0', '%3PA')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 28_level_0', 'Awards')"
2000-01,21,MIL,NBA,C,33.0,13.0,270.0,0.343,1.3,1.0,0.8,0.2,0.0,0.0,0.0,0.343,0.393,0.143,,,,0.833,0.143,4.0,,0.0,0.0,
2001-02,22,MIL,NBA,C,71.0,62.0,1128.0,0.535,2.2,0.993,0.782,0.106,0.099,0.007,0.007,0.539,0.613,0.267,0.286,0.0,0.0,0.789,0.303,37.0,0.0,0.0,0.0,
2002-03,23,MIL,NBA,C,32.0,17.0,546.0,0.391,3.3,1.0,0.739,0.109,0.109,0.043,0.0,0.391,0.441,0.0,0.6,0.0,,0.667,0.065,3.0,,0.0,0.0,
2003-04,24,2TM,NBA,C,17.0,12.0,347.0,0.36,4.4,1.0,0.58,0.2,0.16,0.06,0.0,0.36,0.414,0.1,0.25,1.0,,0.611,0.08,4.0,,0.0,0.0,
2003-04,24,MIL,NBA,C,5.0,0.0,33.0,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,
2003-04,24,ATL,NBA,C,12.0,12.0,314.0,0.36,4.4,1.0,0.58,0.2,0.16,0.06,0.0,0.36,0.414,0.1,0.25,1.0,,0.611,0.08,4.0,,0.0,0.0,
2004-05,25,POR,NBA,C,76.0,50.0,1858.0,0.598,2.9,1.0,0.727,0.153,0.072,0.048,0.0,0.598,0.694,0.373,0.333,0.25,,0.754,0.324,96.0,,0.0,0.0,DPOY-12
2005-06,26,POR,NBA,C,56.0,52.0,1395.0,0.548,2.4,1.0,0.711,0.218,0.063,0.008,0.0,0.548,0.653,0.327,0.133,0.5,,0.672,0.272,56.0,,0.0,0.0,
2006-07,27,POR,NBA,C,43.0,43.0,701.0,0.474,4.6,1.0,0.615,0.154,0.192,0.038,0.0,0.474,0.583,0.25,0.267,0.667,,0.703,0.179,13.0,,0.0,0.0,
2007-08,28,POR,NBA,C,77.0,67.0,1819.0,0.576,1.7,0.996,0.82,0.128,0.04,0.008,0.004,0.578,0.629,0.375,0.3,0.0,0.0,0.667,0.312,73.0,0.0,0.0,0.0,
