"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Jamal Murray,,6.2,5.9,5.5,5.1,5.1,4.6,4.3,1.3
Jeff Malone,95.9,6.1,5.7,5.6,5.6,5.2,5.1,4.1,1.3
Brian Winters,95.9,6.2,6.0,5.5,5.1,5.0,4.2,3.5,1.1
Michael Cooper,93.8,6.5,5.8,5.2,5.0,5.0,4.6,4.0,0.0
Jimmy Walker,93.0,6.2,6.2,6.1,5.5,5.1,4.8,3.6,0.4
Jameer Nelson,92.4,6.6,6.0,5.6,5.0,4.9,4.0,3.5,2.5
Nate McMillan,90.9,6.5,6.0,5.6,4.9,4.4,4.1,3.7,2.8
Dick McGuire,90.6,6.6,6.3,5.3,5.3,4.7,4.5,2.1,1.3
Darren Collison,85.8,5.9,5.6,5.2,4.3,3.9,3.8,3.8,2.9
K.C. Jones,84.9,6.7,6.6,5.8,4.9,3.7,3.6,3.0,0.8
Damon Stoudamire,84.8,7.6,6.7,6.6,6.1,4.7,4.3,3.6,1.6
