Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2011-12,25,OKC,NBA,SF,5,0,18,5.9,8.8,0.667,0.0,0.0,5.9,8.8,0.667,0.667,0.0,0.0,0.0,11.8,11.8,0.0,0.0,0.0,2.9,5.9,11.8,93,110,
1 Yr,1 Yr,1 Yr,1 Yr,,5,0,18,5.9,8.8,0.667,0.0,0.0,5.9,8.8,0.667,0.667,0.0,0.0,0.0,11.8,11.8,0.0,0.0,0.0,2.9,5.9,11.8,93,110,
