Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2011-12,25,OKC,NBA,SF,5,0,18,4.0,6.0,0.667,0.0,0.0,4.0,6.0,0.667,0.667,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,2.0,4.0,8.0,
1 Yr,1 Yr,1 Yr,1 Yr,,5,0,18,4.0,6.0,0.667,0.0,0.0,4.0,6.0,0.667,0.667,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,2.0,4.0,8.0,
