"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Round')","('Unnamed: 5_level_0', 'Opp')","('Unnamed: 6_level_0', 'W/L')","('Unnamed: 7_level_0', 'G')","('Per Game', 'MP')","('Per Game', 'PTS')","('Per Game', 'TRB')","('Per Game', 'AST')","('Per Game', 'STL')","('Per Game', 'BLK')","('Totals', 'FG')","('Totals', 'FGA')","('Totals', 'FG%')","('Totals', '3P')","('Totals', '3PA')","('Totals', '2P')","('Totals', '2PA')","('Totals', '2P%')","('Totals', 'eFG%')","('Totals', 'FT')","('Totals', 'FTA')","('Totals', 'FT%')","('Totals', 'ORB')","('Totals', 'DRB')","('Totals', 'TRB')","('Totals', 'AST')","('Totals', 'STL')","('Totals', 'BLK')","('Totals', 'TOV')","('Totals', 'PF')","('Totals', 'PTS')","('Unnamed: 35_level_0', 'Awards')"
2012-13,23,GSW,NBA,WC1,DEN,W (4-2),6,9.2,3.2,1.8,0.0,0.2,1.0,5,6,.833,0,0,5,6,.833,.833,9,15,.600,3,8,11,0,1,6,10,9,19,
2012-13,23,GSW,NBA,WCS,SAS,L (2-4),6,13.2,0.8,3.2,0.3,0.3,0.2,1,7,.143,0,0,1,7,.143,.143,3,6,.500,10,9,19,2,2,1,2,15,5,
2013-14,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury
2014-15,25,GSW,NBA,WC1,NOP,W (4-0),4,4.8,1.3,1.8,0.0,0.0,0.0,1,4,.250,0,0,1,4,.250,.250,3,6,.500,4,3,7,0,0,0,2,2,5,
2014-15,25,GSW,NBA,WCS,MEM,W (4-2),6,5.8,1.5,1.3,0.0,0.0,0.5,4,6,.667,0,0,4,6,.667,.667,1,2,.500,1,7,8,0,0,3,0,1,9,
2014-15,25,GSW,NBA,WCF,HOU,W (4-1),5,15.8,6.8,6.0,0.8,0.2,0.8,15,25,.600,0,0,15,25,.600,.600,4,10,.400,12,18,30,4,1,4,6,13,34,
2014-15,25,GSW,NBA,FIN,CLE,W (4-2),5,10.0,4.4,3.4,0.4,0.0,0.6,7,15,.467,0,0,7,15,.467,.467,8,11,.727,7,10,17,2,0,3,4,9,22,
2015-16,26,GSW,NBA,WC1,HOU,W (4-1),5,8.0,3.8,3.4,0.4,0.0,0.4,8,17,.471,0,0,8,17,.471,.471,3,10,.300,7,10,17,2,0,2,5,8,19,
2015-16,26,GSW,NBA,WCS,POR,W (4-1),4,10.5,5.8,3.8,0.3,0.0,0.8,9,12,.750,0,0,9,12,.750,.750,5,7,.714,2,13,15,1,0,3,3,5,23,
2015-16,26,GSW,NBA,WCF,OKC,W (4-3),7,8.6,5.3,2.3,0.3,0.0,0.1,14,20,.700,0,0,14,20,.700,.700,9,23,.391,7,9,16,2,0,1,4,11,37,
