"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('Unnamed: 20_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 25_level_0', 'Awards')"
2012-13,23,GSW,NBA,C,12.0,3.0,134.0,0.462,2.6,1.0,0.615,0.385,0.0,0.0,0.0,0.462,0.5,0.4,,0.833,0.231,3.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,25,GSW,NBA,C,20.0,0.0,183.0,0.54,3.2,1.0,0.58,0.38,0.04,0.0,0.0,0.54,0.586,0.474,0.5,0.519,0.32,13.0,0.0,0.0,
2015-16,26,GSW,NBA,C,23.0,1.0,203.0,0.536,3.1,1.0,0.623,0.333,0.043,0.0,0.0,0.536,0.651,0.348,0.333,0.703,0.348,18.0,0.0,0.0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,55.0,4.0,520.0,0.53,2.9,1.0,0.606,0.356,0.038,0.0,0.0,0.53,0.613,0.404,0.4,0.643,0.326,34.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,6.0,775.0,0.53,2.9,1.0,0.606,0.356,0.038,0.0,0.0,0.53,0.613,0.404,0.4,0.643,0.326,51.0,0.0,0.0,
