"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Lester Hudson,,0.2,0.1,0.1,-0.1
Awvee Storey,26.1,0.2,0.1,0.0,
Mike Price,22.3,0.2,0.2,0.1,
Bob Duffy,15.8,0.3,0.1,0.1,
Anthony Roberson,13.8,0.2,0.2,0.1,
Patrick Baldwin Jr.,13.2,0.2,0.2,0.1,
Axel Toupane,10.2,0.3,0.1,0.1,
Mason Jones,8.9,0.2,0.2,0.2,0.0
Randy Woods,7.0,0.3,0.2,0.1,0.1
Jared Cunningham,6.7,0.1,0.1,0.0,0.0
Kevin Pritchard,2.8,0.2,0.2,0.2,-0.2
