Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2004-05,25,WAS,NBA,C,10.0,10.0,296.0,4.7,8.8,0.542,0.0,0.0,4.7,8.8,0.542,0.542,3.4,5.4,0.636,4.3,5.0,9.2,1.2,1.7,2.4,1.2,4.9,12.9,
2005-06,26,WAS,NBA,C,6.0,6.0,155.0,3.5,5.1,0.682,0.0,0.0,3.5,5.1,0.682,0.682,3.0,5.8,0.52,1.6,2.8,4.4,1.2,0.5,2.6,1.6,5.1,10.0,
2006-07,27,WAS,NBA,C,3.0,0.0,34.0,5.3,7.4,0.714,0.0,0.0,5.3,7.4,0.714,0.714,3.2,4.2,0.75,3.2,2.1,5.3,1.1,1.1,0.0,1.1,7.4,13.8,
2007-08,28,WAS,NBA,C,6.0,6.0,178.0,5.3,8.9,0.591,0.0,0.0,5.3,8.9,0.591,0.591,4.0,5.1,0.8,2.6,5.5,8.1,1.0,0.8,1.8,1.2,5.1,14.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,30,DAL,NBA,C,6.0,2.0,139.0,3.1,5.4,0.571,0.0,0.0,3.1,5.4,0.571,0.571,3.1,5.2,0.6,4.7,4.9,9.6,0.8,1.8,2.6,0.8,3.6,9.3,
2010-11,31,DAL,NBA,C,18.0,0.0,275.0,2.4,4.1,0.581,0.0,0.0,2.4,4.1,0.581,0.581,2.6,5.6,0.465,4.5,5.1,9.6,0.5,0.3,2.4,1.7,6.3,7.3,
2011-12,32,DAL,NBA,C,4.0,4.0,61.0,2.4,8.3,0.286,0.0,0.0,2.4,8.3,0.286,0.286,3.0,4.7,0.625,4.1,3.5,7.7,0.6,0.6,1.2,1.2,4.7,7.7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,35,CLE,NBA,C,1.0,0.0,2.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,54.0,28.0,1140.0,3.8,6.7,0.561,0.0,0.0,3.8,6.7,0.561,0.561,3.2,5.3,0.598,3.7,4.6,8.3,0.9,1.0,2.2,1.3,5.2,10.7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAS (4 Yrs),WAS (4 Yrs),WAS (4 Yrs),WAS (4 Yrs),,25.0,22.0,663.0,4.6,7.9,0.586,0.0,0.0,4.6,7.9,0.586,0.586,3.5,5.3,0.653,3.1,4.5,7.6,1.1,1.1,2.2,1.3,5.1,12.7,
DAL (3 Yrs),DAL (3 Yrs),DAL (3 Yrs),DAL (3 Yrs),,28.0,6.0,475.0,2.6,5.0,0.515,0.0,0.0,2.6,5.0,0.515,0.515,2.8,5.4,0.521,4.5,4.9,9.3,0.6,0.8,2.3,1.4,5.3,8.0,
CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),,1.0,0.0,2.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
