"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 24_level_0', 'Awards')"
2013-14,22,CHI,NBA,SG,5.0,0.0,46.0,0.222,0.5,0.0,0.222,,0.222,0.0,0.556,49.0,103.0,0.0,44.0,,41.0,0.0,214.0,
2014-15,23,CHI,NBA,SF,11.0,0.0,140.0,0.341,0.353,0.333,0.443,1.0,0.47,0.091,0.614,76.0,73.0,95.0,89.0,133.0,88.0,33.0,229.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,25,MIL,NBA,SG,6.0,6.0,185.0,0.5,0.462,0.516,0.682,,0.682,0.0,0.705,109.0,92.0,144.0,133.0,,123.0,0.0,223.0,
2017-18,26,MIL,NBA,SG,7.0,2.0,134.0,0.292,0.667,0.238,0.396,,0.396,0.0,0.875,63.0,131.0,66.0,76.0,,71.0,0.0,260.0,
2018-19,27,MIL,NBA,SF,9.0,0.0,28.0,0.333,0.25,0.5,0.417,,0.417,0.0,0.333,72.0,48.0,141.0,79.0,,74.0,0.0,93.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2020-21,29,ATL,NBA,SG,9.0,0.0,66.0,0.125,0.2,0.091,0.156,,0.156,0.0,0.688,27.0,38.0,25.0,29.0,,27.0,0.0,175.0,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,47.0,8.0,599.0,0.35,0.391,0.33,0.462,1.0,0.47,0.028,0.678,76.0,79.0,93.0,90.0,133.0,86.0,10.0,220.0,
,,,,,,,,,,,,,,,,,,,,,,,,
MIL (3 Yrs),MIL (3 Yrs),MIL (3 Yrs),MIL (3 Yrs),,22.0,8.0,347.0,0.419,0.45,0.407,0.568,,0.568,0.0,0.73,91.0,89.0,114.0,110.0,,103.0,0.0,224.0,
CHI (2 Yrs),CHI (2 Yrs),CHI (2 Yrs),CHI (2 Yrs),,16.0,0.0,186.0,0.321,0.381,0.281,0.406,1.0,0.429,0.075,0.604,71.0,78.0,80.0,82.0,133.0,80.0,28.0,226.0,
ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),,9.0,0.0,66.0,0.125,0.2,0.091,0.156,,0.156,0.0,0.688,27.0,38.0,25.0,29.0,,27.0,0.0,175.0,
