"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 29_level_0', 'Awards')"
2022-23,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury
2023-24,23,NOP,NBA,PF,8,0,23,.167,22.1,.167,.167,.000,.000,.000,.833,1.000,1.000,,,.000,1.000,,.167,1,.000,,0,0,
2024-25,24,CHI,NBA,PF,12,0,53,.533,20.3,.333,.133,.133,.067,.000,.667,1.000,1.000,1.000,1.000,.300,.600,1.000,.000,0,.000,,0,0,
2025-26,25,BRK,NBA,PF,7,0,32,.417,18.7,.333,.167,.167,.000,.000,.667,.750,1.000,.500,,.250,.333,1.000,.083,1,.250,.500,0,0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,27,0,108,.424,20.4,.303,.152,.121,.030,.000,.697,.900,1.000,.750,1.000,.217,.556,1.000,.061,2,.087,.500,0,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,328,.424,20.4,.303,.152,.121,.030,.000,.697,.900,1.000,.750,1.000,.217,.556,1.000,.061,6,.087,.500,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHI (1 Yr),CHI (1 Yr),CHI (1 Yr),CHI (1 Yr),,12,0,53,.533,20.3,.333,.133,.133,.067,.000,.667,1.000,1.000,1.000,1.000,.300,.600,1.000,.000,0,.000,,0,0,
NOP (1 Yr),NOP (1 Yr),NOP (1 Yr),NOP (1 Yr),,8,0,23,.167,22.1,.167,.167,.000,.000,.000,.833,1.000,1.000,,,.000,1.000,,.167,1,.000,,0,0,
BRK (1 Yr),BRK (1 Yr),BRK (1 Yr),BRK (1 Yr),,7,0,32,.417,18.7,.333,.167,.167,.000,.000,.667,.750,1.000,.500,,.250,.333,1.000,.083,1,.250,.500,0,0,
