"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Dajuan Wagner,,0.3,0.0,-0.1,-0.2
Sean Higgins,-39.6,0.4,0.0,0.0,-0.1
Michael Phelps,-50.2,0.3,0.1,-0.1,
Andre Barrett,-52.1,0.4,0.0,0.0,-0.1
Brad Holland,-53.6,0.3,0.1,-0.1,
Elijah Millsap,-54.7,0.4,0.1,-0.1,
Cliff Anderson,-54.8,0.4,0.1,0.0,-0.2
Stephen Graham,-56.6,0.4,0.0,0.0,-0.1
Jaren Jackson,-56.6,0.4,0.1,0.0,-0.1
Troy Hudson,-58.1,0.5,0.1,0.0,-0.2
David Duke Jr.,-58.9,0.3,0.1,0.0,-0.1
