"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Montrezl Harrell,,8.7,7.3,7.3,7.0,5.5,4.1,2.2,0.9
Rudy LaRusso,92.0,8.8,7.3,7.0,6.9,5.5,5.4,3.9,1.7
Wally Szczerbiak,91.6,8.7,8.0,7.4,7.3,6.2,5.2,1.6,1.6
Cincy Powell,91.5,8.1,7.0,6.8,6.4,5.4,4.3,3.0,0.1
Tristan Thompson,91.1,8.7,7.3,6.8,5.7,5.2,2.6,2.5,1.1
Mickey Johnson,90.7,8.5,8.3,7.3,7.2,5.5,5.3,3.7,0.7
Troy Murphy,90.3,8.5,6.5,6.4,6.2,5.3,4.5,1.4,1.3
Bryon Russell,90.0,8.8,7.4,6.8,6.0,5.6,2.1,1.4,0.8
Bill Bridges,89.9,8.6,7.6,6.7,6.6,3.9,3.1,2.6,0.6
Tobias Harris,89.8,7.1,6.8,6.7,6.6,4.8,4.1,2.4,0.9
Jim McMillian,89.8,8.9,7.9,7.8,6.4,6.0,3.4,2.6,2.5
