"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Cam Reddish,,1.0,0.9,0.7,0.6,0.4,-0.4,,
Gary Gregor,75.7,1.4,1.1,0.8,0.5,0.5,-0.4,,
Bill Hosket,71.6,1.0,1.0,0.6,0.5,,,,
Cartier Martin,68.4,1.3,0.8,0.7,0.7,0.4,0.1,-0.2,
Loren Woods,67.6,1.1,0.7,0.5,0.4,0.4,0.1,,
Bruno Fernando,66.5,1.5,0.9,0.8,0.4,0.3,-0.1,,
Steve Green,65.4,1.2,1.1,0.7,0.4,,,,
Luka Garza,63.9,1.1,0.8,0.7,0.4,,,,
Anthony Miller,63.7,1.2,1.2,0.8,0.6,0.0,0.0,0.0,-0.1
Nassir Little,63.6,1.7,1.1,0.7,0.7,0.6,,,
Anthony Gill,63.5,1.4,1.3,0.6,0.5,0.4,,,
