"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('Unnamed: 21_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 26_level_0', 'Awards')"
2006-07,20,SEA,NBA,C,28.0,3.0,169.0,0.367,6.5,1.0,0.327,0.327,0.306,0.041,0.0,0.367,0.563,0.313,0.2,0.5,0.611,0.041,2.0,0.0,0.0,
2007-08,21,SEA,NBA,C,13.0,0.0,62.0,0.458,3.8,1.0,0.583,0.25,0.167,0.0,0.0,0.458,0.429,0.667,0.25,,0.545,0.042,1.0,0.0,0.0,
2008-09,22,2TM,NBA,C,6.0,0.0,29.0,0.667,4.4,1.0,0.556,0.222,0.111,0.111,0.0,0.667,0.6,1.0,1.0,0.0,0.5,0.333,2.0,0.0,0.0,
2008-09,22,OKC,NBA,C,5.0,0.0,23.0,0.714,5.9,1.0,0.571,0.143,0.143,0.143,0.0,0.714,0.75,1.0,1.0,0.0,0.6,0.286,2.0,0.0,0.0,
2008-09,22,NYK,NBA,C,1.0,0.0,6.0,0.5,2.9,1.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,1.0,,,0.0,0.5,0.0,0.0,0.0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,47.0,3.0,260.0,0.427,4.8,1.0,0.427,0.293,0.244,0.037,0.0,0.427,0.514,0.458,0.25,0.333,0.571,0.073,5.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,5.0,454.0,0.427,4.8,1.0,0.427,0.293,0.244,0.037,0.0,0.427,0.514,0.458,0.25,0.333,0.571,0.073,9.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA (3 Yrs),SEA (3 Yrs),SEA (3 Yrs),SEA (3 Yrs),,46.0,3.0,254.0,0.425,5.4,1.0,0.425,0.288,0.25,0.038,0.0,0.425,0.529,0.435,0.25,0.333,0.588,0.063,5.0,0.0,0.0,
NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),,1.0,0.0,6.0,0.5,2.9,1.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,1.0,,,0.0,0.5,0.0,0.0,0.0,
