"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Tre Mann,,1.2,0.5,0.1,0.1
Craig Ehlo,92.4,1.2,0.5,0.2,0.0
Ronnie Price,90.8,1.1,0.4,0.1,0.1
Matt Thomas,89.8,1.2,0.6,0.2,
Romeo Langford,88.5,1.3,0.5,0.2,0.0
Nate Hawthorne,86.3,1.1,0.5,0.1,
Brooks Thompson,86.3,1.1,0.6,0.2,0.1
PJ Dozier,84.9,1.1,0.4,0.1,0.0
Bryan Warrick,83.4,1.0,0.5,0.1,0.0
Jaden Ivey,82.7,1.2,0.5,0.0,
Edmond Sumner,82.7,1.4,0.4,0.1,0.0
