Season,Team,Lg,Salary
2004-05,Charlotte Bobcats,NBA,"$3,739,680"
2005-06,Charlotte Bobcats,NBA,"$4,020,120"
2006-07,Charlotte Bobcats,NBA,"$4,300,560"
2007-08,Charlotte Bobcats,NBA,"$5,427,307"
2008-09,Charlotte Bobcats,NBA,"$9,537,500"
2009-10,New Orleans Hornets,NBA,"$10,538,937"
2010-11,New Orleans Hornets,NBA,"$11,495,000"
2011-12,New Orleans Hornets,NBA,"$12,541,812"
2012-13,Washington Wizards,NBA,"$13,490,000"
2013-14,Phoenix Suns,NBA,"$14,487,500"
2017-18,New Orleans Pelicans,NBA,"$774,914"
Career,(may be incomplete),,"$90,353,330"
