"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Dwayne Bacon,,1.2,0.5,-0.1,-0.8
Rafer Alston,47.0,1.2,0.7,0.3,-0.7
Jaden Ivey,38.5,1.2,0.5,0.0,
Pat Riley,37.9,1.0,0.6,0.3,-0.6
Bobby Lewis,37.6,1.0,0.7,-0.1,-0.4
Nickeil Alexander-Walker,36.5,1.1,0.7,0.1,-0.2
Gerald Green,35.6,1.6,0.5,0.0,-0.4
Bernie Williams,32.4,1.1,0.8,0.1,-0.3
Garrett Temple,31.6,1.2,0.4,0.3,-0.4
Tre Mann,31.5,1.2,0.5,0.1,0.1
Craig Ehlo,28.8,1.2,0.5,0.2,0.0
