"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Cam Reddish,,1.0,0.9,0.7,0.6,0.4,-0.4
Jim Ard,87.6,1.0,1.0,0.9,0.6,0.4,-0.4
Gary Gregor,75.7,1.4,1.1,0.8,0.5,0.5,-0.4
Cartier Martin,73.8,1.3,0.8,0.7,0.7,0.4,0.1
Chris Crawford,71.7,1.3,0.9,0.6,0.6,0.2,0.1
Bill Hosket,71.6,1.0,1.0,0.6,0.5,,
Joe Ellis,67.9,1.3,1.3,1.0,0.5,0.4,-0.3
Loren Woods,67.6,1.1,0.7,0.5,0.4,0.4,0.1
Anthony Miller,66.9,1.2,1.2,0.8,0.6,0.0,-0.1
Luke Babbitt,66.5,1.6,1.1,0.7,0.7,0.7,-0.4
Bruno Fernando,66.5,1.5,0.9,0.8,0.4,0.3,-0.1
