"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 22_level_0', 'Awards')"
2001-02,23,UTA,NBA,C,4.0,4.0,47.0,0.556,0.556,0.556,1.0,0.583,0.111,0.0,125.0,119.0,116.0,133.0,112.0,38.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
2006-07,28,UTA,NBA,C,13.0,0.0,110.0,0.333,0.333,0.333,0.529,0.455,1.889,0.0,73.0,69.0,67.0,70.0,84.0,577.0,0.0,
2007-08,29,UTA,NBA,C,5.0,0.0,20.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
2008-09,30,UTA,NBA,C,3.0,3.0,35.0,0.2,0.2,0.2,0.75,0.469,1.6,0.0,44.0,41.0,40.0,97.0,86.0,523.0,0.0,
2009-10,31,PHO,NBA,C,11.0,10.0,115.0,0.333,0.333,0.333,1.0,0.378,0.133,0.0,72.0,68.0,67.0,132.0,70.0,44.0,0.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,36.0,17.0,327.0,0.38,0.38,0.38,0.655,0.454,0.58,0.0,83.0,80.0,78.0,86.0,85.0,183.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
UTA (4 Yrs),UTA (4 Yrs),UTA (4 Yrs),UTA (4 Yrs),,25.0,7.0,212.0,0.4,0.4,0.4,0.63,0.48,0.771,0.0,88.0,85.0,83.0,83.0,90.0,243.0,0.0,
PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),,11.0,10.0,115.0,0.333,0.333,0.333,1.0,0.378,0.133,0.0,72.0,68.0,67.0,132.0,70.0,44.0,0.0,
