"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Guerschon Yabusele,,3.9,0.6,0.5,,
Richard Dumas,89.9,3.9,0.3,0.3,,
Archie Dees,85.5,3.7,0.7,0.6,0.4,
Harthorne Wingo,79.2,3.9,1.4,0.9,0.0,
Moussa Diabat̩,78.1,3.2,0.4,0.3,,
Tom Marshall,77.4,3.5,0.7,0.2,-0.3,
Dick Schulz,71.8,2.9,0.8,0.6,0.0,
Dennis Hamilton,69.9,2.8,0.7,0.5,0.0,
Jake LaRavia,68.8,2.9,1.0,0.5,,
Kenny Fields,68.4,2.8,0.7,0.7,0.0,
Tommy Byrnes,67.2,4.0,1.7,0.9,0.3,-0.2
