"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Damyean Dotson,,1.5,0.9,0.6,0.0,0.0,
Richie Frahm,85.7,1.5,1.0,0.5,-0.2,,
Saben Lee,84.3,1.5,0.9,0.7,0.4,,
Steve Alford,83.0,1.4,0.9,0.6,0.3,,
Norris Cole,80.6,1.4,1.2,0.6,0.0,-0.1,-0.1
Mike Flynn,79.3,1.7,0.8,0.3,,,
Jordan Hamilton,76.9,1.6,0.8,0.3,0.2,0.1,
Sean Kilpatrick,76.8,1.4,1.0,0.1,0.1,,
Corky Devlin,75.7,1.8,1.2,0.8,,,
Steve Harris,75.4,1.3,1.2,0.8,0.0,-0.1,
Chris Smith,74.8,1.2,1.1,0.9,,,
