"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Josh McRoberts,,6.5,4.9,2.2,1.5,1.4,0.8,0.4,0.4,0.3,0.1,0.0
Ben Warley,86.2,6.3,3.8,1.7,1.5,1.4,0.8,0.6,0.5,,,
John Williams,81.5,6.9,5.0,3.5,1.9,1.3,1.0,0.8,-0.5,,,
Jason Maxiell,81.1,6.3,4.1,2.6,1.8,1.8,1.7,1.4,0.5,0.3,-0.2,
Jarred Vanderbilt,80.0,6.0,5.2,3.1,1.4,1.1,0.1,0.0,,,,
Albert King,78.4,5.7,4.3,2.4,1.9,1.9,0.2,0.1,0.0,-0.1,,
Grant Williams,78.4,5.1,4.4,2.6,1.6,1.1,0.7,,,,,
Larry Krystkowiak,77.9,6.3,2.6,2.1,1.8,1.4,1.0,0.3,0.1,0.1,,
Tyler Zeller,77.5,6.5,2.9,2.6,2.0,1.7,1.0,0.3,0.0,,,
Buck Johnson,77.0,6.2,4.6,3.6,2.3,2.1,1.2,0.7,,,,
Travis Outlaw,76.9,5.3,3.2,2.3,1.4,1.4,0.9,0.9,0.8,0.3,0.0,-0.1
