"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Lonzo Ball,,3.2,2.4,2.2,2.0,1.6,1.2
Marko JariÄ,92.3,2.8,2.4,2.3,1.9,1.5,1.5
Randy Foye,91.3,3.2,3.1,2.3,2.2,1.7,1.1
Clint Richardson,89.8,3.3,2.4,1.9,1.8,1.1,1.0
Jordan Clarkson,89.7,3.4,3.0,2.4,2.1,1.8,1.2
Earl Watson,89.7,2.7,2.3,2.3,2.0,1.8,1.5
Robert Pack,89.4,3.1,2.7,2.2,1.7,1.1,1.1
Kenrich Williams,87.9,3.3,2.8,2.5,1.8,1.2,0.9
Eric Piatkowski,87.6,3.9,2.3,2.3,2.3,2.0,1.2
Alex Caruso,86.9,3.6,2.4,2.3,2.0,1.0,0.5
Tony Allen,86.6,2.7,2.7,1.9,1.9,1.7,1.6
