"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Tyler Ennis,,0.8,0.4,0.4,-0.3
Chris Corchiani,72.6,0.9,0.4,0.3,
Brandon Boston Jr.,68.9,0.7,0.4,0.2,-0.3
Acie Law,66.6,0.7,0.6,0.4,-0.1
Dylan Windler,66.2,0.8,0.5,0.3,0.0
Yakhouba Diawara,64.1,0.7,0.5,0.5,-0.1
Gerald Glass,61.6,0.9,0.5,0.3,0.1
Jordan McRae,57.6,0.7,0.5,0.4,0.2
Dru Smith,55.3,0.7,0.3,0.3,
Shawn Respert,54.6,0.8,0.7,0.5,0.1
Pearl Washington,52.3,0.7,0.7,0.5,
