"('Thru 11 Years', 'Player')","('Thru 11 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Eddy Curry,,4.7,4.3,3.5,3.3,3.0,1.8,1.7,0.0,-0.1,-0.1,-0.3
Nazr Mohammed,88.8,4.6,4.5,3.7,3.4,3.3,2.5,2.3,0.4,0.0,0.0,-0.1
John Gianelli,88.0,5.5,4.4,3.6,3.2,3.0,2.5,1.2,-0.4,,,
Chris Dudley,87.4,4.7,4.1,3.5,3.4,2.2,2.2,1.5,1.0,0.2,0.1,0.0
John Henson,84.3,4.9,3.6,3.3,2.7,2.3,1.9,1.4,0.6,,,
Walter Dukes,83.9,4.2,3.9,3.7,3.3,3.2,2.8,2.4,0.5,,,
Daniel Theis,83.2,6.5,4.3,3.5,3.5,2.5,1.9,1.0,0.1,,,
Dewayne Dedmon,82.9,5.2,4.0,3.7,3.5,2.4,1.7,1.1,1.0,0.6,0.1,
Otto Moore,82.8,5.0,4.7,3.5,2.9,2.4,2.3,1.8,1.3,0.9,,
Jim Davis,82.4,4.3,3.8,3.5,2.3,2.3,1.8,0.9,0.2,,,
Kevin Kunnert,81.9,5.1,4.8,4.1,2.6,2.3,1.9,1.0,0.2,0.0,,
