Season,Team,Lg,Salary
2001-02,Chicago Bulls,NBA,"$2,678,400"
2002-03,Chicago Bulls,NBA,"$2,879,280"
2003-04,Chicago Bulls,NBA,"$3,080,160"
2004-05,Chicago Bulls,NBA,"$3,896,402"
2005-06,New York Knicks,NBA,"$7,390,000"
2006-07,New York Knicks,NBA,"$8,171,103"
2007-08,New York Knicks,NBA,"$8,947,543"
2008-09,New York Knicks,NBA,"$9,723,983"
2009-10,New York Knicks,NBA,"$10,500,423"
2010-11,Minnesota Timberwolves,NBA,"$11,530,592"
2011-12,Miami Heat,NBA,"$1,229,255"
2012-13,Dallas Mavericks,NBA,"$23,852"
Career,(may be incomplete),,"$70,050,993"
