Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2018-19,21,GSW,NBA,SG,7,0,18,2,5,0.4,1,2,0.5,1,3,0.333,0.5,0,0,0,1,1,1,0,0,2,1,5,0,
1 Yr,1 Yr,1 Yr,1 Yr,,7,0,18,2,5,0.4,1,2,0.5,1,3,0.333,0.5,0,0,0,1,1,1,0,0,2,1,5,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,211,23,59,0.4,12,23,0.5,12,35,0.333,0.5,0,0,0,12,12,12,0,0,23,12,59,0,
