"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Tari Eason,,5.0,2.6,1.3,,
Larry Stewart,84.8,4.7,2.9,1.6,0.5,0.1
Sam Smith,83.3,4.6,3.3,1.4,0.2,
Tony Jaros,82.7,4.4,2.2,1.3,0.6,
Zeke Zawoluk,82.0,3.9,2.5,1.7,,
Andy Johnson,81.6,4.6,1.8,1.3,0.3,
Landry Fields,81.5,5.3,3.4,1.1,0.4,0.3
Wah Wah Jones,79.5,5.9,2.1,0.8,,
Harold Pressley,79.1,4.8,2.3,2.2,0.7,
Dick Mehen,77.9,5.6,1.9,0.6,,
Paolo Banchero,77.7,5.3,3.5,2.4,,
