Season,Team,Lg,Salary
2015-16,Toronto Raptors,NBA,"$1,509,360"
2016-17,Toronto Raptors,NBA,"$1,577,280"
2017-18,Toronto Raptors,NBA,"$1,645,200"
2018-19,Memphis Grizzlies,NBA,"$2,536,898"
2019-20,Dallas Mavericks,NBA,"$9,473,684"
2020-21,Sacramento Kings,NBA,"$9,000,000"
2021-22,Atlanta Hawks,NBA,"$8,526,316"
2022-23,Washington Wizards,NBA,"$7,804,878"
2023-24,Washington Wizards,NBA,"$8,195,122"
2023-24,Miami Heat,NBA,"$661,628"
2024-25,New York Knicks,NBA,"$2,087,519"
Career,(may be incomplete),,"$53,017,885"
