"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Brandon Clarke,,6.3,5.0,4.5,4.4,4.2,0.3
John Block,92.6,5.5,5.1,4.2,4.1,4.1,0.2
Jeff Green,92.6,6.6,4.8,4.7,4.2,3.3,0.2
Mike Bantom,89.7,5.9,5.2,4.8,4.5,2.7,0.5
Jerome Williams,89.2,7.6,5.0,4.8,4.5,3.5,0.2
Walt Simon,88.9,6.1,4.8,4.5,4.1,3.4,2.0
Dave DeBusschere,88.4,6.6,5.9,4.7,3.7,3.6,0.0
Jaylen Brown,88.0,5.8,4.9,4.8,4.5,3.0,1.5
Brian Grant,87.7,6.3,5.9,5.3,4.7,3.5,1.0
Larry Smith,87.7,6.1,5.2,4.7,4.3,4.0,3.1
Joe Smith,87.2,6.8,4.7,4.4,4.4,3.7,2.6
