"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
T.J. Warren,,6.5,4.1,3.4,2.2,2.1,1.2,1.1,0.2,0.1,,
Buck Johnson,91.5,6.2,4.6,3.6,2.3,2.1,1.2,0.7,,,,
AndrÃ©s Nocioni,91.4,6.7,4.1,3.3,2.8,2.5,1.3,1.3,-0.2,,,
Pervis Ellison,89.8,6.9,4.0,3.9,2.6,1.8,1.1,0.7,0.5,0.4,0.0,0.0
Dario Å ariÄ,89.4,6.6,3.6,3.5,2.8,1.7,1.7,1.0,0.0,,,
J.J. Hickson,87.8,6.9,4.3,3.3,1.8,1.7,1.5,1.5,0.8,,,
Ron Franz,87.1,5.9,3.7,3.3,2.2,2.1,0.9,,,,,
Bison Dele,85.2,6.9,4.7,4.0,2.4,2.3,1.8,0.3,0.2,,,
Jason Maxiell,85.0,6.3,4.1,2.6,1.8,1.8,1.7,1.4,0.5,0.3,-0.2,
Donald Royal,84.5,5.1,3.8,3.6,2.3,1.6,1.3,1.0,0.4,,,
Adam Keefe,84.4,6.5,4.6,4.1,3.3,2.3,1.7,1.4,0.6,0.4,,
