"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Payton Pritchard,,8.6,6.1,3.1,2.5,0.6
Vinnie Johnson,87.5,7.7,5.9,4.1,2.7,0.2
DraÅ¾en PetroviÄ,87.5,8.4,7.7,2.8,2.5,
Richard Hamilton,87.2,8.1,7.3,4.0,2.4,0.7
Eric Murdock,86.8,7.2,6.1,4.3,2.5,0.6
Dick Snyder,86.8,10.0,6.2,3.7,1.8,0.6
Dave Twardzik,86.0,7.5,5.1,3.0,2.4,1.1
George Lehmann,85.0,7.3,5.9,2.5,2.3,0.0
DeMar DeRozan,84.7,8.8,4.7,3.2,2.5,2.3
Leandro Barbosa,84.0,8.2,5.5,3.8,1.9,1.8
Steve Nash,83.8,8.4,4.8,3.0,1.0,0.7
