"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Miles McBride,,3.6,3.2,0.7,0.2,,,,
Curly Armstrong,90.8,3.5,3.1,0.6,,,,,
Ron Sobie,87.4,3.6,2.6,0.9,0.1,,,,
Sam Merrill,85.4,3.3,2.8,0.5,0.2,0.0,,,
George Karl,85.3,3.4,3.3,1.3,0.0,-0.2,,,
Keith Jennings,83.3,4.2,2.9,0.6,,,,,
Terry Furlow,83.1,3.3,2.8,1.1,0.0,,,,
Billy Ray Bates,82.6,3.6,2.4,0.9,0.0,,,,
Kelenna Azubuike,81.8,4.1,3.4,1.2,0.7,-0.1,,,
Earl Tatum,78.3,4.4,2.6,0.7,0.0,,,,
Markelle Fultz,76.8,3.7,2.7,1.3,0.4,0.3,0.2,-0.1,-0.1
