"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Miles McBride,,3.6,3.2,0.7,0.2
Max Strus,93.7,3.6,3.4,0.9,0.0
Ron Lee,91.1,3.8,2.8,0.8,0.3
Isaiah Joe,91.0,3.8,3.5,0.6,0.4
Curly Armstrong,90.8,3.5,3.1,0.6,
J.R. Smith,87.9,3.7,3.7,1.2,0.2
Kevin Grevey,87.4,4.4,3.4,0.7,0.1
Ron Sobie,87.4,3.6,2.6,0.9,0.1
Tyus Jones,86.0,3.6,3.0,1.5,0.3
George Karl,85.5,3.4,3.3,1.3,-0.2
Carlos Delfino,85.4,4.0,2.9,1.0,0.5
