"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Sean May,,2.2,0.4,0.3,-0.3
Earl Clark,94.1,2.3,0.3,0.3,-0.3
Bud Olsen,85.1,2.5,0.4,0.2,-0.3
Gerard King,82.3,2.3,0.5,0.2,
Linton Johnson,76.6,1.9,0.4,0.4,0.0
Jay Huff,75.9,2.5,0.5,0.2,0.0
Alan Williams,73.7,2.1,0.2,0.2,0.0
J.J. Anderson,73.5,2.3,0.2,0.1,
Tellis Frank,72.4,2.0,0.6,0.3,0.1
Bol Bol,72.2,2.3,0.1,0.1,0.0
Neil Johnson,72.2,2.2,0.2,-0.2,-0.3
