"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Round')","('Unnamed: 5_level_0', 'Opp')","('Unnamed: 6_level_0', 'W/L')","('Unnamed: 7_level_0', 'G')","('Per Game', 'MP')","('Per Game', 'PTS')","('Per Game', 'TRB')","('Per Game', 'AST')","('Per Game', 'STL')","('Per Game', 'BLK')","('Totals', 'FG')","('Totals', 'FGA')","('Totals', 'FG%')","('Totals', '3P')","('Totals', '3PA')","('Totals', '2P')","('Totals', '2PA')","('Totals', '2P%')","('Totals', 'eFG%')","('Totals', 'FT')","('Totals', 'FTA')","('Totals', 'FT%')","('Totals', 'ORB')","('Totals', 'DRB')","('Totals', 'TRB')","('Totals', 'AST')","('Totals', 'STL')","('Totals', 'BLK')","('Totals', 'TOV')","('Totals', 'PF')","('Totals', 'PTS')","('Unnamed: 35_level_0', 'Awards')"
2011-12,23,PHI,NBA,EC1,CHI,W (4-2),5.0,15.8,4.8,4.4,0.0,0.6,0.8,11.0,22.0,0.5,0.0,0.0,11.0,22.0,0.5,0.5,2.0,5.0,0.4,6.0,16.0,22.0,0.0,3.0,4.0,1.0,9.0,24.0,
2011-12,23,PHI,NBA,ECS,BOS,L (3-4),7.0,22.4,7.3,5.3,0.4,1.0,1.0,23.0,39.0,0.59,0.0,0.0,23.0,39.0,0.59,0.59,5.0,7.0,0.714,15.0,22.0,37.0,3.0,7.0,7.0,4.0,21.0,51.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,25,IND,NBA,EC1,ATL,W (4-3),1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2013-14,25,IND,NBA,ECS,WAS,W (4-2),1.0,6.0,2.0,4.0,1.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,
2013-14,25,IND,NBA,ECF,MIA,L (2-4),2.0,2.5,1.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,27,IND,NBA,EC1,TOR,L (3-4),6.0,8.5,1.0,2.3,0.3,0.2,0.2,3.0,10.0,0.3,0.0,0.0,3.0,10.0,0.3,0.3,0.0,0.0,,4.0,10.0,14.0,2.0,1.0,1.0,1.0,2.0,6.0,
2016-17,28,IND,NBA,EC1,CLE,L (0-4),3.0,3.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,
4 Yrs (7 Series),4 Yrs (7 Series),4 Yrs (7 Series),4 Yrs (7 Series),4 Yrs (7 Series),4 Yrs (7 Series),3-4,25.0,12.5,3.4,3.2,0.2,0.4,0.5,39.0,75.0,0.52,0.0,0.0,39.0,75.0,0.52,0.52,7.0,12.0,0.583,26.0,54.0,80.0,6.0,11.0,12.0,7.0,33.0,85.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC1 (4 Series),EC1 (4 Series),EC1 (4 Series),EC1 (4 Series),EC1 (4 Series),EC1 (4 Series),2-2,15.0,9.7,2.0,2.5,0.1,0.3,0.3,14.0,33.0,0.424,0.0,0.0,14.0,33.0,0.424,0.424,2.0,5.0,0.4,10.0,28.0,38.0,2.0,4.0,5.0,3.0,11.0,30.0,
ECS (2 Series),ECS (2 Series),ECS (2 Series),ECS (2 Series),ECS (2 Series),ECS (2 Series),1-1,8.0,20.4,6.6,5.1,0.5,0.9,0.9,24.0,41.0,0.585,0.0,0.0,24.0,41.0,0.585,0.585,5.0,7.0,0.714,15.0,26.0,41.0,4.0,7.0,7.0,4.0,22.0,53.0,
ECF (1 Series),ECF (1 Series),ECF (1 Series),ECF (1 Series),ECF (1 Series),ECF (1 Series),0-1,2.0,2.5,1.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,
