Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2011-12,22,PHI,NBA,PF,12.0,1.0,236.0,34.0,61.0,0.557,0.0,0.0,34.0,61.0,0.557,0.557,7.0,12.0,0.583,21.0,38.0,59.0,3.0,10.0,11.0,5.0,30.0,75.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,24,IND,NBA,PF,4.0,0.0,15.0,2.0,4.0,0.5,0.0,0.0,2.0,4.0,0.5,0.5,0.0,0.0,,1.0,4.0,5.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,26,IND,NBA,PF,6.0,3.0,51.0,3.0,10.0,0.3,0.0,0.0,3.0,10.0,0.3,0.3,0.0,0.0,,4.0,10.0,14.0,2.0,1.0,1.0,1.0,2.0,6.0,0.0,
2016-17,27,IND,NBA,PF,3.0,0.0,11.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,25.0,4.0,313.0,39.0,75.0,0.52,0.0,0.0,39.0,75.0,0.52,0.52,7.0,12.0,0.583,26.0,54.0,80.0,6.0,11.0,12.0,7.0,33.0,85.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,13.0,1027.0,128.0,246.0,0.52,0.0,0.0,128.0,246.0,0.52,0.52,23.0,39.0,0.583,85.0,177.0,262.0,20.0,36.0,39.0,23.0,108.0,279.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND (3 Yrs),IND (3 Yrs),IND (3 Yrs),IND (3 Yrs),,13.0,3.0,77.0,5.0,14.0,0.357,0.0,0.0,5.0,14.0,0.357,0.357,0.0,0.0,,5.0,16.0,21.0,3.0,1.0,1.0,2.0,3.0,10.0,0.0,
PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),,12.0,1.0,236.0,34.0,61.0,0.557,0.0,0.0,34.0,61.0,0.557,0.557,7.0,12.0,0.583,21.0,38.0,59.0,3.0,10.0,11.0,5.0,30.0,75.0,0.0,
