0
Career 3673 (76th)
Career NBA 3673 (76th)
Career Playoffs 503 (41st)
Career NBA Playoffs 503 (41st)
Career (Reg+Playoffs) 4176 (64th)
Career NBA (Reg+Playoffs) 4176 (64th)
