"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Dyson Daniels,,5.0,2.9,1.3
Paul Westphal,94.4,5.1,3.2,1.4
Victor Oladipo,93.4,4.9,3.5,1.3
Keldon Johnson,93.2,4.9,3.3,1.1
Jarrett Jack,93.0,4.8,3.2,1.2
Slick Watts,92.1,4.7,2.7,1.2
Kendall Gill,91.2,4.7,2.9,1.8
Lee Winfield,90.7,4.5,2.8,1.6
Kentavious Caldwell-Pope,90.5,5.3,2.8,1.8
Tyreke Evans,90.1,5.4,2.7,1.6
Jim Price,89.8,5.0,3.7,1.5
