"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Chris Duarte,,0.9,0.7,0.3,0.0
Malik Monk,90.8,1.0,0.7,0.3,0.0
Mike D'Antoni,90.3,1.0,0.8,0.3,0.0
Phil Rollins,83.8,1.1,0.7,0.1,
Tony Bennett,82.3,0.9,0.7,0.0,
Litterial Green,81.5,0.8,0.8,0.1,-0.1
Salim Stoudamire,81.1,1.2,0.8,0.3,
Tarence Kinsey,79.8,0.9,0.6,0.0,
Shawn Respert,79.2,0.8,0.7,0.5,0.1
Gerald Glass,78.1,0.9,0.5,0.3,0.1
Bryan Warrick,78.1,1.0,0.5,0.1,0.0
