"('Thru 11 Years', 'Player')","('Thru 11 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Jordan Clarkson,,4.2,3.5,3.4,3.0,2.4,2.1,1.8,1.7,1.2,0.4,0.2
Randy Foye,91.7,4.6,3.7,3.2,3.1,2.3,2.2,1.7,1.1,1.0,0.4,0.2
Scott Brooks,90.2,4.6,3.3,2.9,2.7,2.6,2.1,1.9,1.6,1.0,0.7,
Caris LeVert,89.5,4.4,4.0,3.6,2.4,2.3,2.2,1.8,1.7,1.5,,
Bill Hanzlik,89.3,4.7,4.1,3.5,2.9,2.4,2.2,1.9,1.3,1.0,0.7,
Calbert Cheaney,88.2,4.1,3.9,3.2,3.2,2.8,2.3,1.2,1.2,0.8,0.4,-0.1
Steve Blake,88.1,5.8,3.8,3.3,2.8,2.4,2.1,1.8,1.8,1.0,0.7,0.3
Ernie Grunfeld,88.1,4.3,4.3,3.5,2.7,2.5,2.4,2.2,1.6,1.4,,
Mike Glenn,87.0,4.4,3.9,2.9,2.9,2.8,2.8,2.1,1.9,1.5,0.1,
Shaun Livingston,86.9,4.6,4.4,3.3,2.6,2.4,1.9,1.3,1.3,1.2,0.4,0.1
Darrell Griffith,86.7,3.9,3.5,3.5,2.8,2.5,2.5,2.1,0.8,0.4,0.0,
