"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Troy Brown Jr.,,2.9,2.4,1.4,0.8,0.6,0.5,,,,
Glenn Robinson III,86.9,2.9,2.5,0.8,0.7,0.6,0.3,0.1,,,
Greg Minor,85.5,3.0,2.1,1.7,0.8,0.6,,,,,
Shammond Williams,85.1,3.1,2.9,1.2,1.0,0.5,0.2,0.0,,,
Butch Carter,84.5,3.0,2.6,1.3,0.9,0.9,-0.2,,,,
Ennis Whatley,84.5,3.3,2.2,1.9,0.8,0.7,0.6,0.0,0.0,0.0,0.0
Garrison Mathews,83.9,2.8,2.3,1.6,1.5,1.0,0.6,,,,
Rick Adelman,82.4,3.4,2.2,1.6,1.3,0.7,0.7,0.1,,,
Quincy Pondexter,82.4,3.2,2.9,1.7,0.9,0.8,0.4,-0.2,,,
Furkan Korkmaz,81.5,2.8,2.0,1.2,1.1,0.4,0.1,0.0,,,
Shabazz Napier,80.9,3.2,2.0,1.7,0.6,0.5,0.1,,,,
