"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Dalano Banton,,0.8,0.5,0.4,0.4
Skylar Mays,85.7,0.8,0.7,0.4,0.3
JaKarr Sampson,81.9,0.8,0.6,0.5,0.1
Jordan McRae,80.5,0.7,0.5,0.4,0.2
Royal Ivey,80.0,0.7,0.5,0.3,0.2
Keith McLeod,79.5,0.8,0.6,0.3,0.2
Eddie House,75.3,0.9,0.7,0.7,0.4
Shawn Respert,73.9,0.8,0.7,0.5,0.1
Dylan Windler,73.4,0.8,0.5,0.3,0.0
Pearl Washington,71.3,0.7,0.7,0.5,
Yakhouba Diawara,71.2,0.7,0.5,0.5,-0.1
