Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2022-23,20,MIN,NBA,SF,1,0,6,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,6.0,6.0,0.0,
2023-24,21,MIN,NBA,SF,5,0,18,4.0,18.0,0.222,4.0,10.0,0.4,0.0,8.0,0.0,0.333,0.0,0.0,2.0,8.0,10.0,6.0,0.0,0.0,0.0,4.0,12.0,
2024-25,22,MIN,NBA,SF,5,0,23,3.1,12.5,0.25,1.6,9.4,0.167,1.6,3.1,0.5,0.313,0.0,0.0,0.0,0.0,0.0,3.1,0.0,1.6,3.1,1.6,7.8,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,11,0,47,3.1,13.8,0.222,2.3,9.2,0.25,0.8,4.6,0.167,0.306,0.0,0.0,0.8,3.1,3.8,3.8,1.5,1.5,2.3,3.1,8.4,
