"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Brandon Boston Jr.,,0.7,0.4,0.2,-0.3
Tyler Ennis,68.9,0.8,0.4,0.4,-0.3
Delaney Rudd,64.1,0.6,0.3,0.1,-0.3
Terry Duerod,61.9,0.7,0.2,0.2,-0.2
Dru Smith,61.7,0.7,0.3,0.3,
MarJon Beauchamp,60.5,0.7,0.4,0.1,
Acie Law,59.9,0.7,0.6,0.4,-0.1
K.J. McDaniels,58.6,0.6,0.5,0.2,
Tyler Dorsey,58.3,0.6,0.4,0.1,
Paul Long,57.8,0.5,0.3,0.2,-0.2
R.J. Hampton,57.5,0.7,0.4,-0.1,-0.2
