"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Marquese Chriss,,3.4,1.8,0.8,0.7,0.0,-0.2,,,,
Barney Cable,82.0,3.3,1.6,0.7,0.4,0.3,0.1,,,,
Darius Miller,81.5,3.0,1.6,0.8,0.6,0.5,-0.1,,,,
Dave Lattin,80.9,3.2,2.0,0.6,0.4,0.2,,,,,
Simmie Hill,80.5,3.1,1.6,1.2,1.0,,,,,,
Lee Nailon,79.9,3.5,2.2,0.9,0.7,0.5,0.3,,,,
Darko MiliÄiÄ,79.5,3.3,1.9,1.2,0.7,0.2,0.2,0.0,-0.1,-0.2,-0.2
John Trapp,78.1,3.3,1.2,1.2,0.6,0.0,,,,,
Stanislav Medvedenko,77.7,3.0,1.8,0.5,0.4,0.2,0.1,0.0,,,
Brady Walker,77.1,2.8,1.9,1.2,1.0,,,,,,
Tommy Byrnes,76.3,4.0,1.7,0.9,0.3,-0.2,,,,,
