"('Thru 11 Years', 'Player')","('Thru 11 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Jusuf NurkiÄ,,7.8,5.8,4.7,3.6,2.7,2.4,2.0,1.6,1.5,0.9,0.4
Mark West,86.2,8.2,6.5,5.5,3.9,3.4,3.1,2.4,1.9,1.1,0.9,-0.1
Herb Williams,85.7,6.2,4.7,4.6,3.5,2.8,2.2,2.2,1.8,1.7,1.4,0.8
Chris Andersen,85.6,5.9,5.4,4.5,3.2,2.7,2.4,1.9,1.3,1.1,0.3,0.0
Richaun Holmes,85.1,6.1,4.9,4.3,3.8,3.2,2.8,2.0,1.5,1.3,0.8,
Kent Benson,83.8,6.4,5.2,4.7,3.3,3.2,3.2,3.1,1.7,1.7,1.1,0.0
Connie Simmons,83.3,6.1,5.7,5.3,3.3,2.6,2.5,2.4,1.1,0.3,0.1,
Gorgui Dieng,83.1,5.9,5.7,4.9,2.9,2.9,2.8,2.2,2.1,1.2,0.0,
Andris BiedriÅÅ¡,83.0,8.0,6.7,5.4,2.9,2.6,1.6,1.3,1.2,1.1,0.0,
JaVale McGee,83.0,5.9,5.3,4.9,4.1,3.5,2.7,2.1,2.0,1.1,0.4,-0.1
Cody Zeller,82.4,6.3,5.6,3.9,3.8,3.6,3.3,2.6,1.9,1.1,0.8,0.7
