"('Thru 9 Years', 'Player')","('Thru 9 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Elfrid Payton,,4.4,2.8,2.3,2.2,1.7,1.5,1.0,-0.2,-0.6
Bob Hansen,88.8,4.4,2.8,2.6,2.5,1.7,0.9,0.7,-0.1,-0.1
John Bagley,85.1,4.6,3.0,2.6,2.6,1.9,1.1,0.9,0.4,-0.2
Frank Johnson,85.0,4.3,3.0,2.1,1.9,1.6,1.5,0.6,0.5,0.5
Shaun Livingston,85.0,4.4,2.6,2.4,1.9,1.3,1.3,1.2,0.4,0.1
Torrey Craig,84.2,4.0,3.0,2.3,2.2,2.0,1.9,0.9,0.8,
Jon Barry,83.1,4.2,2.4,2.4,2.4,2.1,1.8,1.1,0.9,-0.1
Marquis Daniels,82.9,4.2,3.2,2.5,2.0,1.3,1.3,0.9,0.6,0.1
Dudley Bradley,82.8,3.9,3.1,2.4,1.9,1.7,1.4,1.1,1.0,0.0
E'Twaun Moore,82.5,4.4,2.7,1.8,1.7,1.7,0.9,0.8,0.2,0.2
Winston Garland,82.2,4.5,2.9,2.4,1.8,1.7,1.2,-0.3,,
