Season,Team,Lg,Salary
2014-15,Denver Nuggets,NBA,"$1,762,680"
2015-16,Denver Nuggets,NBA,"$1,842,000"
2016-17,Portland Trail Blazers,NBA,"$1,921,320"
2017-18,Portland Trail Blazers,NBA,"$2,947,305"
2018-19,Portland Trail Blazers,NBA,"$11,111,111"
2019-20,Portland Trail Blazers,NBA,"$12,000,000"
2020-21,Portland Trail Blazers,NBA,"$12,888,889"
2021-22,Portland Trail Blazers,NBA,"$12,000,000"
2022-23,Portland Trail Blazers,NBA,"$15,625,000"
2023-24,Phoenix Suns,NBA,"$16,875,000"
2024-25,Charlotte Hornets,NBA,"$18,125,000"
Career,(may be incomplete),,"$107,098,305"
