"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Alando Tucker,,0.2,0.1,0.0
Mfiondu Kabengele,90.2,0.2,0.2,0.1
Easy Parham,86.8,0.3,0.1,0.0
Isaiah Mobley,78.7,0.2,0.0,0.0
Braxton Key,77.4,0.2,0.2,0.0
Jackie Robinson,75.0,0.2,0.1,0.0
Jordan Mickey,68.4,0.3,0.1,0.1
David Thirdkill,66.0,0.3,0.0,0.0
Chris McCullough,59.6,0.3,0.2,0.1
Luka Å amaniÄ,58.5,0.2,0.1,0.0
Norvel Pelle,56.9,0.3,0.2,0.0
