"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Jayson Tatum,,10.5,10.4,9.6,9.5,7.1,6.9,6.5,5.0
James Worthy,95.9,10.6,9.7,9.5,9.3,7.9,7.5,6.5,5.1
Billy Cunningham,94.0,11.9,10.3,10.0,9.0,8.3,6.8,6.4,5.0
Terry Cummings,91.1,10.7,8.8,8.7,8.7,7.7,7.5,7.4,5.2
John Drew,91.1,10.6,8.9,8.9,7.9,7.1,6.4,5.5,5.4
Larry Johnson,90.8,10.1,9.6,8.9,8.5,7.7,6.9,4.9,3.9
Larry Nance,90.3,10.5,10.3,10.2,9.8,8.4,8.0,7.9,2.4
Bob Dandridge,90.2,9.5,9.1,9.0,8.4,8.1,7.0,6.0,5.4
LaMarcus Aldridge,90.1,11.1,9.5,8.8,7.5,7.2,7.0,6.2,3.4
George McGinnis,90.1,11.6,11.4,10.1,8.6,8.5,7.9,7.1,5.3
Chris Bosh,89.9,10.3,10.1,9.8,9.7,9.6,9.6,6.8,6.2
